text_id,granularity,category,text
LBL_ventricular_tachycardia,atomic,RHYTHM,Ventricular tachycardia present.
LBL_bradycardia,atomic,RHYTHM,Bradycardia present.
LBL_brugada,atomic,RHYTHM,Brugada present.
LBL_wolff_parkinson_white_pre_excitation_syndrome,atomic,RHYTHM,Wolff-Parkinson-White (Pre-excitation syndrome) present.
LBL_atrial_flutter,atomic,RHYTHM,Atrial flutter present.
LBL_ectopic_atrial_rhythm_100_bpm,atomic,RHYTHM,Ectopic atrial rhythm (< 100 BPM) present.
LBL_atrial_tachycardia_100_bpm,atomic,RHYTHM,Atrial tachycardia (>= 100 BPM) present.
LBL_ventricular_rhythm,atomic,RHYTHM,Ventricular Rhythm present.
LBL_supraventricular_tachycardia,atomic,RHYTHM,Supraventricular tachycardia present.
LBL_junctional_rhythm,atomic,RHYTHM,Junctional rhythm present.
LBL_regularly_irregular,atomic,RHYTHM,Regularly irregular present.
LBL_irregularly_irregular,atomic,RHYTHM,Irregularly irregular present.
LBL_afib,atomic,RHYTHM,Afib present.
LBL_premature_ventricular_complex,atomic,RHYTHM,Premature ventricular complex present.
LBL_premature_atrial_complex,atomic,RHYTHM,Premature atrial complex present.
LBL_left_anterior_fascicular_block,atomic,CONDUCTION,Left anterior fascicular block present.
LBL_delta_wave,atomic,CONDUCTION,Delta wave present.
LBL_2nd_degree_av_block_mobitz_2,atomic,CONDUCTION,2nd degree AV block - mobitz 2 present.
LBL_left_bundle_branch_block,atomic,CONDUCTION,Left bundle branch block present.
LBL_right_bundle_branch_block,atomic,CONDUCTION,Right bundle branch block present.
LBL_left_axis_deviation,atomic,CONDUCTION,Left axis deviation present.
LBL_atrial_paced,atomic,CONDUCTION,Atrial paced present.
LBL_right_axis_deviation,atomic,CONDUCTION,Right axis deviation present.
LBL_left_posterior_fascicular_block,atomic,CONDUCTION,Left posterior fascicular block present.
LBL_1st_degree_av_block,atomic,CONDUCTION,1st degree AV block present.
LBL_right_superior_axis,atomic,CONDUCTION,Right superior axis present.
LBL_nonspecific_intraventricular_conduction_delay,atomic,CONDUCTION,Nonspecific intraventricular conduction delay present.
LBL_third_degree_av_block,atomic,CONDUCTION,Third Degree AV Block present.
LBL_2nd_degree_av_block_mobitz_1,atomic,CONDUCTION,2nd degree AV block - mobitz 1 present.
LBL_prolonged_qt,atomic,CONDUCTION,Prolonged QT present.
LBL_u_wave,atomic,CONDUCTION,U wave present.
LBL_lv_pacing,atomic,CONDUCTION,LV pacing present.
LBL_ventricular_paced,atomic,CONDUCTION,Ventricular paced present.
LBL_bi_atrial_enlargement,atomic,CHAMBER ENLARGEMENT,Bi-atrial enlargement present.
LBL_left_atrial_enlargement,atomic,CHAMBER ENLARGEMENT,Left atrial enlargement present.
LBL_right_atrial_enlargement,atomic,CHAMBER ENLARGEMENT,Right atrial enlargement present.
LBL_left_ventricular_hypertrophy,atomic,CHAMBER ENLARGEMENT,Left ventricular hypertrophy present.
LBL_right_ventricular_hypertrophy,atomic,CHAMBER ENLARGEMENT,Right ventricular hypertrophy present.
LBL_acute_pericarditis,atomic,PERICARDITIS,Acute pericarditis present.
LBL_q_wave_septal_v1_v2,atomic,"INFARCT, ISCHEMIA",Q wave (septal- V1-V2) present.
LBL_st_elevation_anterior_v3_v4,atomic,"INFARCT, ISCHEMIA",ST elevation (anterior - V3-V4) present.
LBL_q_wave_posterior_v7_v9,atomic,"INFARCT, ISCHEMIA",Q wave (posterior - V7-V9) present.
LBL_q_wave_inferior_ii_iii_avf,atomic,"INFARCT, ISCHEMIA","Q wave (inferior - II, III, aVF) present."
LBL_q_wave_anterior_v3_v4,atomic,"INFARCT, ISCHEMIA",Q wave (anterior - V3-V4) present.
LBL_st_elevation_lateral_i_avl_v5_v6,atomic,"INFARCT, ISCHEMIA","ST elevation (lateral - I, aVL, V5-V6) present."
LBL_q_wave_lateral_i_avl_v5_v6,atomic,"INFARCT, ISCHEMIA","Q wave (lateral- I, aVL, V5-V6) present."
LBL_st_depression_lateral_i_avl_v5_v6,atomic,"INFARCT, ISCHEMIA","ST depression (lateral - I, avL, V5-V6) present."
LBL_acute_mi,atomic,"INFARCT, ISCHEMIA",Acute MI present.
LBL_st_elevation_septal_v1_v2,atomic,"INFARCT, ISCHEMIA",ST elevation (septal - V1-V2) present.
LBL_st_elevation_inferior_ii_iii_avf,atomic,"INFARCT, ISCHEMIA","ST elevation (inferior - II, III, aVF) present."
LBL_st_elevation_posterior_v7_v8_v9,atomic,"INFARCT, ISCHEMIA",ST elevation (posterior - V7-V8-V9) present.
LBL_st_depression_inferior_ii_iii_avf,atomic,"INFARCT, ISCHEMIA","ST depression (inferior - II, III, aVF) present."
LBL_st_depression_anterior_v3_v4,atomic,"INFARCT, ISCHEMIA",ST depression (anterior - V3-V4) present.
LBL_st_downslopping,atomic,OTHER,ST downslopping present.
LBL_st_depression_septal_v1_v2,atomic,OTHER,ST depression (septal- V1-V2) present.
LBL_r_s_ratio_in_v1_v2_1,atomic,OTHER,R/S ratio in V1-V2 >1 present.
LBL_rv1_sv6_11_mm,atomic,OTHER,RV1 + SV6 > 11 mm present.
LBL_polymorph,atomic,OTHER,Polymorph present.
LBL_rsr_in_v1_v2,atomic,OTHER,rSR' in V1-V2 present.
LBL_qrs_complex_negative_in_iii,atomic,OTHER,QRS complex negative in III present.
LBL_qrs_in_v5_v6_i_avl,atomic,OTHER,"qRS in V5-V6-I, aVL present."
LBL_qs_complex_in_v1_v2_v3,atomic,OTHER,QS complex in V1-V2-V3 present.
LBL_r_complex_in_v5_v6,atomic,OTHER,R complex in V5-V6 present.
LBL_ravl_11_mm,atomic,OTHER,RaVL > 11 mm present.
LBL_t_wave_inversion_septal_v1_v2,atomic,OTHER,T wave inversion (septal- V1-V2) present.
LBL_sv1_rv5_or_rv6_35_mm,atomic,OTHER,SV1 + RV5 or RV6 > 35 mm present.
LBL_t_wave_inversion_inferior_ii_iii_avf,atomic,OTHER,"T wave inversion (inferior - II, III, aVF) present."
LBL_t_wave_inversion_anterior_v3_v4,atomic,OTHER,T wave inversion (anterior - V3-V4) present.
LBL_t_wave_inversion_lateral_i_avl_v5_v6,atomic,OTHER,"T wave inversion (lateral -I, aVL, V5-V6) present."
LBL_low_voltage,atomic,OTHER,Low voltage present.
LBL_lead_misplacement,atomic,OTHER,Lead misplacement present.
LBL_early_repolarization,atomic,OTHER,Early repolarization present.
LBL_st_upslopping,atomic,OTHER,ST upslopping present.
LBL_no_qrs,atomic,OTHER,no_qrs present.
